protein_id,locus_match,new_gene,gene,name,description
WP_003541364.1,SMc01883,RL_RS16920,RL3283,-,putative transmembrane protein
WP_011652779.1,SMc01885,RL_RS16925,RL3284,-,putative aminopeptidase
WP_129557799.1,,RL_RS39720,RL3286,-,-
WP_011652780.1,SMc01472,RL_RS16930,RL3287,-,putative ribosomal protein L11 methyltransferase
WP_041936396.1,SMc01471,RL_RS16935,RL3288,-,putative Sco copper chaperone family protein
WP_003541378.1,SMc01468,RL_RS16940,RL3289,-,putative chemotaxis protein
WP_011652782.1,SMc01465,RL_RS16945,RL3290,-,putative CreA family protein
WP_011652783.1,,RL_RS16950,RL3291,-,putative DNA polymerase/exonuclease
WP_011652784.1,,RL_RS16955,RL3292,-,putative acetyltransferase
WP_011652786.1,,RL_RS16965,RL3294,-,hypothetical protein
WP_011652793.1,SMc01870,RL_RS17005,RL3302,-,putative aquaporin Z (bacterial nodulin-like intrinsic protein)
WP_011652806.1,SMc01856,RL_RS17080,RL3317,-,putative N-methyl-l-tryptophan oxidase
WP_011652807.1,,RL_RS17085,RL3318,-,putative N-methyl-L-tryptophan oxidase
WP_011652808.1,SMc01855,RL_RS17090,RL3319,-,putative transglycosylase
WP_011652812.1,SMc01851,RL_RS17110,RL3323,-,putative transmembrane efflux protein
WP_041936399.1,SMc01850,RL_RS17115,RL3324,-,putative SLT domain transglycosylase
WP_011652814.1,SMc01849,RL_RS17120,RL3325,-,putative hydrolase
WP_011652815.1,SMc01848,RL_RS17125,RL3326,-,putative S-adenosylmethionine:diacylglycerol 3-amino-3-carboxypropyl transferase
WP_011652816.1,SMc01847,RL_RS17130,RL3327,-,putative S-adenosylmethionine:diacylgycerolhomoserine-N-methyltrans ferase
WP_011652817.1,SMc01846,RL_RS17135,RL3328,-,putative glycosyl transferase
WP_011652818.1,SMc01845,RL_RS17140,RL3329,-,putative lytic transglycosylase
WP_011652819.1,SMc01844,RL_RS17145,RL3330,-,putative transmembrane component of ABC transporter
WP_011652825.1,SMc02817,RL_RS17175,RL3336,-,putative transmembrane protein
WP_011652826.1,SM_b21182,RL_RS17180,RL3337,-,putative L-carnitine dehydrogenase-like protein
WP_011652827.1,SMc04455,RL_RS17185,RL3338,-,putative acetolactate synthase isozyme II large subunit
WP_003541466.1,SMc00791,RL_RS17190,RL3339,-,putative ribonuclease-L-PSP family protein
WP_011652829.1,SMc01573,RL_RS17195,RL3340,-,hypothetical protein
WP_011652830.1,SMc01574,RL_RS17200,RL3341,-,hypothetical protein
WP_028740841.1,SMc01575,RL_RS17205,RL3342,-,putative ErfK/YbiS/YhnG family protein
WP_011652832.1,SMc01579,RL_RS17210,RL3343,-,putative partition-related protein
WP_011652833.1,SMc01582,RL_RS17215,RL3344,-,putative dehydrogenase
WP_011652834.1,SMc01588,RL_RS17220,RL3345,-,putative aldehyde dehydrogenase
WP_011652835.1,SMc01594,RL_RS17225,RL3346,-,putative glutamine synthetase
WP_011652836.1,SMc01597,RL_RS17230,RL3347,-,putative transmembrane component of ABC transporter
WP_028740666.1,SMc01600,RL_RS17235,RL3348,-,putative N-formylglutamate amidohydrolase family protein
WP_011652838.1,SMc01602,RL_RS17240,RL3349,-,putative transcriptional regulator
WP_011652842.1,,RL_RS17265,RL3354,-,hypothetical protein
WP_011652843.1,SMc02869,RL_RS17270,RL3355,-,putative ATP-binding component of ABC transporter
WP_011652844.1,SMc02870,RL_RS17275,RL3356,-,putative GFO/IDH/MocA family oxidoreductase protein
WP_011652845.1,SMc02871,RL_RS17280,RL3357,-,putative transmembrane component of ABC transporter
WP_011652846.1,SMc02872,RL_RS17285,RL3358,-,putative transmembrane component of ABC transporter
WP_011652847.1,SMc02873,RL_RS17290,RL3359,-,putative solute-binding component of ABC transporter
WP_011652848.1,SMc02875,RL_RS17295,RL3360,-,hypothetical protein
WP_011652849.1,SMc02876,RL_RS17300,RL3361,-,putative GntR family transcriptional regulator
WP_011652855.1,SMa1652,RL_RS17330,RL3367,-,putative hydantoin racemase
WP_011652856.1,,RL_RS17335,RL3368,-,putative transmembrane component of ABC transporter
WP_003541532.1,,RL_RS17340,RL3369,-,putative transmembrane component of ABC transporter
WP_003541534.1,,RL_RS17345,RL3370,-,putative solute-binding component of ABC transporter
WP_011652857.1,,RL_RS17350,RL3371,-,putative ATP-binding component of ABC transporter
WP_011652858.1,SMc02425,RL_RS17355,RL3372,-,putative GntR family transcriptional regulator
,,,RL3373,-,hypothetical protein
WP_028740677.1,SM_b20600,RL_RS17365,RL3374,-,hypothetical protein
WP_003541547.1,,RL_RS17375,RL3375,-,hypothetical protein
WP_011652862.1,,RL_RS17380,RL3376,-,hypothetical protein
WP_244432337.1,,RL_RS40585,RL3380,-,hypothetical protein
WP_244432339.1,,RL_RS17430,RL3381,-,putative acetyltransferase
WP_011652867.1,SMc01556,RL_RS17435,RL3382,-,putative outer membrane protein related to bp26 antigen of Brucella
WP_011652868.1,,RL_RS17440,RL3383,-,hypothetical protein
WP_011652869.1,,RL_RS17445,RL3384,-,hypothetical protein
WP_011652870.1,SMc01559,RL_RS17450,RL3385,-,hypothetical protein
WP_011652871.1,SMc01560,RL_RS17455,RL3386,-,hypothetical protein
WP_011652872.1,,RL_RS17460,RL3387,-,putative HAD family hydrolase
WP_032992421.1,SM_b21492,RL_RS17465,RL3388,-,hypothetical protein
WP_011652873.1,,RL_RS17470,RL3389,-,putative transmembrane protein
WP_011652874.1,,RL_RS17475,RL3390,-,putative transcriptional activator protein
WP_011652876.1,,RL_RS17485,RL3392,-,hypothetical protein
WP_011652877.1,SM_b21379,RL_RS17490,RL3393,-,hypothetical protein
WP_011652892.1,,RL_RS17565,RL3409,-,hypothetical protein
WP_011652893.1,SMc01568,RL_RS17570,RL3410,-,putative GatB/Yqey family protein
WP_011652906.1,SM_b20611,RL_RS17640,RL3424,-,putative C4-dicarboxylate transport protein
WP_003541645.1,SMc01223,RL_RS17655,RL3427,-,putative AsnC family transcriptional regulatory protein
WP_011652912.1,,RL_RS17675,RL3431,-,putative MFS family transmembrane transporter
WP_011652913.1,SMc01227,RL_RS17680,RL3432,-,putative glycerol trinitrate reductase
WP_011652914.1,SMc01228,RL_RS17685,RL3433,-,putative streptomycin 3''-kinase
WP_011652915.1,SMa1985,RL_RS17690,RL3434,-,hypothetical protein
WP_011652916.1,SMa1987,RL_RS17695,RL3435,-,putative LysR family transcriptional regulator
WP_011652917.1,,RL_RS17700,RL3436,-,hypothetical protein
WP_003541669.1,SMc00942,RL_RS17705,RL3437,-,hypothetical protein
WP_011652918.1,SMc02224,RL_RS17710,RL3438,-,putative transmembrane cation transporter
WP_011652921.1,,RL_RS17725,RL3441,-,hypothetical protein
WP_011652922.1,,RL_RS17730,RL3442,-,hypothetical protein
WP_041936406.1,,RL_RS17740,RL3444,-,putative transmembrane protein
WP_041936407.1,SMc01581,RL_RS17745,RL3445,-,putative transmembrane sortase-like protein
WP_011652926.1,SMc01583,RL_RS17750,RL3446,-,putative quinoprotein glucose dehydrogenase-B
WP_011652927.1,,RL_RS17755,RL3447,-,hypothetical protein
WP_011652928.1,SMc01584,RL_RS17760,RL3448,-,putative MFS family transmembrane transporter
WP_003561293.1,SMc01585,RL_RS17765,RL3449,-,putative cold shock protein
WP_011652929.1,SMc01586,RL_RS17770,RL3450,-,putative transmembrane protein
WP_011652930.1,SMa0326,RL_RS17775,RL3451,-,putative short-chain dehydrogenase/reductase
WP_003541697.1,SMc01591,RL_RS17800,RL3456,-,putative transmembrane protein
WP_026159967.1,SMc01590,RL_RS17805,RL3457,-,hypothetical protein
WP_011652936.1,SMc01587,RL_RS17810,RL3458,-,putative beta-lactamase family protein
WP_011652949.1,,RL_RS17880,RL3472,-,putative GGDEF/EAL transmembrane sensory box protein
WP_028740737.1,,RL_RS17885,RL3473,-,putative solute-binding component of ABC transporter
WP_011652952.1,,RL_RS17895,RL3475,-,putative acetyltransferase
WP_011652953.1,SMc02694,RL_RS17900,RL3476,-,putative ATP-dependent Clp protease adaptor protein
WP_011652954.1,,RL_RS17905,RL3477,-,hypothetical protein
WP_011652955.1,SMc01176,RL_RS17910,RL3478,-,hypothetical protein
WP_011652957.1,,RL_RS17920,RL3480,-,putative transmembrane protein
WP_011652958.1,SMc02696,RL_RS17925,RL3481,-,putative MaoC family protein
WP_011652959.1,SMc02697,RL_RS17930,RL3482,-,putative MaoC family protein
WP_011652960.1,SMc02698,RL_RS17935,RL3483,-,putative adenine phosphoribosyltransferase
WP_011652964.1,,RL_RS17955,RL3487,-,putative transmembrane exo/endo phosphatase family protein
WP_028740742.1,,RL_RS17965,RL3489,-,hypothetical protein
WP_011652967.1,SMc00185,RL_RS17970,RL3490,-,putative ATP-binding component of ABC transporter
WP_011652968.1,SMc00184,RL_RS17975,RL3491,-,putative aminotransferase/methyltransferase
WP_041936411.1,,RL_RS18040,RL3503,-,putative acetyltransferase
WP_086935558.1,SMc02707,RL_RS18045,RL3504,-,putative acetyltransferase
WP_028740747.1,SMc02708,RL_RS18050,RL3505,-,hypothetical protein
WP_026159971.1,SMc02711,RL_RS18055,RL3506,-,putative MutT/NUDIX family protein
WP_011652990.1,SMc02691,RL_RS18095,RL3514,-,putative transmembrane transporter
WP_003541822.1,SMc02720,RL_RS18100,RL3515,-,putative ATP-dependent Clp protease
WP_011652991.1,SM_b20339,RL_RS18105,RL3516,-,hypothetical protein
WP_003541825.1,SMc02723,RL_RS18110,RL3517,-,putative GTP cyclohydrolase I
WP_003541827.1,SMc02724,RL_RS18115,RL3518,-,putative transmembrane cation efflux pump
WP_011652993.1,SMa0254,RL_RS18120,RL3519,-,hypothetical protein
WP_003541831.1,,RL_RS18125,RL3520,-,hypothetical protein
WP_011652995.1,SMc02726,RL_RS18135,RL3522,-,putative cation transport protein
WP_011652996.1,SMc02727,RL_RS18140,RL3523,-,hypothetical protein
WP_011652997.1,,RL_RS18145,RL3524,-,hypothetical protein
WP_011652998.1,SMc02728,RL_RS18150,RL3525,-,putative formate--tetrahydrofolate ligase
WP_011652999.1,,RL_RS18155,RL3526,-,putative transmembrane protein
WP_011653000.1,,RL_RS18160,RL3527,-,hypothetical protein
WP_041936415.1,,RL_RS18165,RL3528,-,putative LuxR/GerE family transcriptional regulatory protein
WP_011653002.1,,RL_RS18170,RL3529,-,hypothetical protein
WP_011653003.1,SMc02729,RL_RS18175,RL3530,-,putative transmembrane protein
WP_041936416.1,SMc02735,RL_RS18180,RL3531,-,hypothetical protein
WP_011653005.1,SMc02736,RL_RS18185,RL3532,-,putative thymidine kinase
WP_011653006.1,SMc02737,RL_RS18190,RL3533,-,putative solute-binding component of ABC transporter
WP_017961531.1,SMc02738,RL_RS18195,RL3534,-,putative transmembrane component of ABC transporter
WP_011653008.1,SMc02739,RL_RS18200,RL3535,-,putative ATP-binding component of ABC transporter
WP_011653009.1,SMc04457,RL_RS18205,RL3536,-,putative pyridoxamine oxidase protein
WP_003541857.1,SMc05009,RL_RS18210,RL3537,-,putative nodulation protein
WP_018243099.1,SMc01534,RL_RS18215,RL3538,-,putative omega-amino acid--pyruvate aminotransferase
WP_011653012.1,SMc00078,RL_RS18225,RL3540,-,putative solute-binding component of ABC transporter
WP_028740768.1,SMc01533,RL_RS18230,RL3541,-,putative adenine deaminase
WP_011653014.1,SMc01532,RL_RS18240,RL3542,-,putative alpha-glucosidase
WP_011653015.1,SM_b21196,RL_RS18245,RL3543,-,putative solute-binding component of ABC transporter
WP_003541883.1,SM_b21197,RL_RS18250,RL3544,-,putative transmembrane component of ABC transporter protein
WP_011653016.1,SM_b21198,RL_RS18255,RL3545,-,putative transmembrane component of ABC transporter protein
WP_011653017.1,,RL_RS18260,RL3546,-,putative ATP-binding component of ABC transporter protein
WP_011653018.1,,RL_RS18265,RL3547,-,putative ATP-binding component of ABC transporter protein
WP_011653019.1,SMc01531,RL_RS18270,RL3548,-,putative 2-dehydro-3-deoxygluconokinase
WP_011653022.1,SMc01945,RL_RS18295,RL3552,-,putative MarR family transcriptional regulator
WP_011653025.1,SM_b20997,RL_RS18310,RL3555,-,putative transmembrane protein
WP_011653026.1,SM_b20998,RL_RS18315,RL3556,-,hypothetical protein
WP_028740771.1,SM_b21000,RL_RS18325,RL3558,-,putative transmembrane MFS permease protein
WP_011653029.1,,RL_RS18330,RL3559,-,putative PadR family transcriptional regulator
WP_011653030.1,SM_b21002,RL_RS18335,RL3560,-,putative methionine aminopeptidase
WP_041936593.1,SM_b21003,RL_RS18340,RL3561,-,putative bacterial luciferase family protein
WP_011653032.1,SMc01149,RL_RS18345,RL3562,-,hypothetical protein
WP_011653033.1,SMc01150,RL_RS18350,RL3563,-,putative RNA polymerase ECF sigma factor
WP_011653034.1,SMc01151,RL_RS18355,RL3564,-,hypothetical protein
WP_011653036.1,,RL_RS18365,RL3566,-,putative AraC family transcriptional regulator
WP_011653037.1,,RL_RS18370,RL3567,-,hypothetical protein
WP_011653038.1,SM_b21009,RL_RS18375,RL3568,-,putative glycerol kinase
WP_011653039.1,SM_b21010,RL_RS18380,RL3569,-,putative D-beta-hydroxybutyrate dehydrogenase
WP_011653040.1,SM_b21011,RL_RS18385,RL3570,-,putative xanthine dehydrogenase
WP_011653041.1,SM_b20846,RL_RS18390,RL3571,-,putative xanthine dehydrogenase
WP_011653042.1,SM_b21288,RL_RS18395,RL3572,-,putative xanthine dehydrogenase cofactor insertion
WP_011653043.1,SM_b20847,RL_RS18405,RL3573,-,putative LysR family transcriptional regulator
WP_003541942.1,SM_b21599,RL_RS18410,RL3573A,-,hypothetical protein
,,,RL3574,-,hypothetical protein
,,,RL3575,-,hypothetical protein
WP_011653049.1,SM_b20850,RL_RS18435,RL3578,-,putative L-lactate dehydrogenase
WP_011653050.1,,RL_RS18440,RL3579,-,putative phage-related protein
WP_011653051.1,,RL_RS18445,RL3580,-,putative transmembrane protein
WP_011653052.1,,RL_RS18450,RL3581,-,hypothetical protein
WP_011653053.1,SMc01798,RL_RS18455,RL3582,-,putative DNA repair protein
WP_011653054.1,SM_b20872,RL_RS18460,RL3583,-,putative purine catabolism protein
WP_028740786.1,SM_b20873,RL_RS18465,RL3584,-,putative ureidoglycolate hydrolase
WP_003541963.1,,RL_RS18470,RL3585,-,hypothetical protein
WP_028740787.1,SM_b20874,RL_RS18475,RL3586,-,putative uricase
WP_011653057.1,SM_b20875,RL_RS18480,RL3587,-,putative polysaccharide deacetylase family protein
WP_011653058.1,SM_b20876,RL_RS18485,RL3588,-,hypothetical protein
WP_011653059.1,SM_b20877,RL_RS18490,RL3589,-,putative glycine oxidase
WP_011653060.1,SM_b20878,RL_RS18495,RL3590,-,hypothetical protein
WP_011653061.1,,RL_RS18500,RL3591,-,putative two-component sensor histidine kinase transcriptional regulatory protein
WP_011653062.1,,RL_RS18505,RL3592,-,hypothetical protein
WP_011653063.1,SMc04362,RL_RS18510,RL3593,-,putative transmembrane transporter
WP_011653064.1,,RL_RS18515,RL3594,-,putative dihydrodipicolinate synthase
WP_028740795.1,,RL_RS18535,RL3598,-,putative two-component sensor histidine kinase transcriptional regulatory protein
WP_172643634.1,,RL_RS18540,RL3599,-,putative two-component response regulator transcriptional regulatory protein
WP_011653070.1,SMc02220,RL_RS18550,RL3600,-,putative transmembrane fatty acid synthesis protein
WP_244432341.1,,RL_RS18555,RL3601,-,hypothetical protein
WP_011653072.1,,RL_RS18560,RL3602,-,putative efflux RND transporter protein
WP_011653073.1,,RL_RS18565,RL3603,-,putative transmembrane transporter
WP_011653085.1,SM_b20893,RL_RS18625,RL3615,-,putative transmembrane component of ABC transporter
WP_011653086.1,SM_b20894,RL_RS18630,RL3616,-,putative ATP-binding component of ABC transporter protein
WP_011653087.1,SM_b20895,RL_RS18635,RL3617,-,putative solute-binding component of ABC transporter
WP_028740804.1,SM_b20896,RL_RS18640,RL3618,-,putative LysR family transcriptional regulator
WP_011653089.1,SM_b20897,RL_RS18645,RL3619,-,hypothetical protein
WP_011653092.1,SM_b20899,RL_RS18660,RL3622,-,putative inositol 2-dehydrogenase
WP_011653093.1,SM_b20901,RL_RS18665,RL3623,-,hypothetical protein
WP_011653094.1,SM_b20902,RL_RS18670,RL3624,-,putative solute-binding component of ABC transporter
WP_011653095.1,SM_b20903,RL_RS18675,RL3625,-,putative transmembrane component of ABC transporter
WP_003542059.1,SM_b20904,RL_RS18680,RL3626,-,putative component of ABC transporter
WP_011653096.1,,RL_RS18695,RL3627,-,hypothetical protein
WP_003542083.1,,RL_RS18730,RL3634,-,hypothetical protein
WP_011653104.1,SMc01540,RL_RS18735,RL3635,-,hypothetical protein
WP_011653105.1,SM_b21116,RL_RS18740,RL3636,-,putative antibiotic resistance protein
WP_011653108.1,,RL_RS18760,RL3639,-,putative transcriptional regulator
WP_028740816.1,SMc02505,RL_RS18765,RL3640,-,-
WP_011653122.1,SM_b21465,RL_RS18860,RL3657,-,putative HlyD family secretion protein
WP_003542141.1,SM_b21466,RL_RS18865,RL3658,-,putative transmembrane ABC transporter component
WP_041936429.1,,RL_RS18870,RL3659,-,hypothetical protein
,,RL_RS18875,RL3660,-,-
WP_011653124.1,,RL_RS18880,RL3661,-,hypothetical protein
WP_011653128.1,,RL_RS18900,RL3665,-,putative polysaccharide export protein
,,RL_RS18920,RL3669,-,hypothetical protein
WP_003542164.1,SMc03244,RL_RS18925,RL3670,-,hypothetical protein
WP_011653133.1,SM_b21203,RL_RS18930,RL3671,-,hypothetical protein
WP_011653134.1,SM_b21202,RL_RS18935,RL3672,-,hypothetical protein
WP_011653135.1,SMc03195,RL_RS18940,RL3673,-,putative uracil-DNA glycosylase
WP_041936598.1,,RL_RS18955,RL3675,-,hypothetical protein
WP_011653138.1,,RL_RS18960,RL3676,-,putative transmembrane exo/endo phosphatase protein
WP_011653140.1,,RL_RS18970,RL3678,-,hypothetical protein
WP_011653141.1,SM_b21208,RL_RS18975,RL3679,-,putative TetR family transcriptional regulator
WP_011653142.1,SM_b21207,RL_RS18980,RL3680,-,putative HlyD family secretion protein
WP_011653143.1,SM_b21206,RL_RS18985,RL3681,-,putative ATP-binding component of ABC transporter
WP_011653144.1,SM_b21205,RL_RS18990,RL3682,-,putative transmembrane component of ABC transporter
WP_011653145.1,SM_b21204,RL_RS18995,RL3683,-,putative transmembrane component of ABC transporter
WP_011653146.1,SMc00253,RL_RS19000,RL3684,-,putative transmembrane protein
WP_003542190.1,SM_b20330,RL_RS19005,RL3685,-,putative GFO/IDH/MocA family oxidoreductase
WP_011653147.1,SM_b20329,RL_RS19010,RL3686,-,putative transporter component protein
WP_003542195.1,SMc01523,RL_RS19015,RL3687,-,putative transmembrane efflux protein
WP_003542198.1,SMc01522,RL_RS19020,RL3688,-,putative TetR family transcriptional regulator
WP_011653148.1,SMc01520,RL_RS19025,RL3689,-,putative globin family protein
WP_011653149.1,SMc01519,RL_RS19030,RL3690,-,putative transmembrane protein
WP_011653152.1,SMc01516,RL_RS19045,RL3693,-,hypothetical protein
WP_041936430.1,SMc01515,RL_RS19050,RL3694,-,-
WP_003542212.1,SMc01514,RL_RS19055,RL3695,-,hypothetical protein
WP_011653154.1,SMc01747,RL_RS19060,RL3696,-,Hemin uptake protein
WP_011653155.1,SMc01513,RL_RS19065,RL3697,-,putative haem iron transport component
WP_011653156.1,SMc01512,RL_RS19070,RL3698,-,hemin-binding component of ABC transporter
WP_011653157.1,SMc01511,RL_RS19075,RL3699,-,transmembrane permease component of haem ABC transporter
WP_041936599.1,SMc01510,RL_RS19080,RL3700,-,ABC transporter component for haem transport
WP_011653159.1,SMc01509,RL_RS19085,RL3701,-,putative transmembrane protein
WP_011653160.1,,RL_RS19090,RL3702,-,putative transmembrane protein
WP_003542247.1,SMc01506,RL_RS19095,RL3703,-,putative ECF sigma factor
WP_003542250.1,SMc01505,RL_RS19100,RL3704,-,hypothetical protein
WP_011653162.1,SMc01814,RL_RS19115,RL3707,-,putative glutamate synthase small subunit protein
WP_011653163.1,SMc01815,RL_RS19120,RL3708,-,putative dihydropyrimidine dehydrogenase
WP_041936431.1,,RL_RS19125,RL3709,-,putative AraC family transcriptional regulator
WP_011653165.1,,RL_RS19130,RL3710,-,putative rhodanese protein
WP_011653166.1,SMc01816,RL_RS19135,RL3711,-,putative alcohol dehydrogenase
WP_011653167.1,SMc01817,RL_RS19140,RL3712,-,putative LysR family transcriptional regulator
WP_028743299.1,,RL_RS19145,RL3713,-,putative heme oxygenase
WP_011653177.1,SMc01828,RL_RS19200,RL3724,-,putative efflux protein
WP_011653178.1,SMc01829,RL_RS19205,RL3725,-,putative RND family transmembrane transporter
WP_011653179.1,SMa1207,RL_RS19210,RL3726,-,putative FNR-like transcriptional regulator
WP_011653180.1,SMc01830,RL_RS19215,RL3727,-,putative urease accessory protein
WP_011653181.1,SMc01831,RL_RS19220,RL3727A,-,putative urease accessory protein
WP_011653182.1,SMc01832,RL_RS37705,RL3728,-,putative urease accessory protein
WP_011653183.1,,RL_RS19230,RL3729,-,putative transmembrane GGDEF sensory box protein
WP_003542323.1,SM_b21707,RL_RS19275,RL3737,-,putative ATP-binding component of ABC transporter
WP_041936434.1,SM_b20602,RL_RS19280,RL3738,-,putative ATP-binding component of ABC transporter
WP_011653191.1,SM_b20603,RL_RS19285,RL3739,-,putative transmembrane component of ABC transporter
WP_011653192.1,SM_b20604,RL_RS19290,RL3740,-,putative transmembrane component of ABC transporter
WP_011653193.1,SM_b20605,RL_RS19295,RL3741,-,putative solute-binding component of ABC transporter
WP_011653197.1,SMc01947,RL_RS19320,RL3746,-,putative transmembrane protein
WP_003542336.1,SMc01948,RL_RS19325,RL3747,-,putative ATP-binding component of ABC transporter
WP_028743284.1,SMc01949,RL_RS19330,RL3748,-,putative ATP-binding component of ABC transporter
WP_026158830.1,,RL_RS19350,RL3752,-,putative transferase involved in exopolysaccharide biosynthesis
WP_011653202.1,,RL_RS19355,RL3753,-,hypothetical protein
WP_041936436.1,SMc00649,RL_RS19405,RL3763,-,putative rRNA methyltransferase
WP_011653211.1,SMc00642,RL_RS19435,RL3769,-,putative transmembrane protein
WP_011653212.1,SMc00589,RL_RS19440,RL3770,-,putative acetyltransferase
WP_011653213.1,,RL_RS19445,RL3771,-,putative GGDEF/EAL sensory box protein
WP_011653214.1,SMa0235,RL_RS19450,RL3772,-,putative dihydroxy-acid dehydratase
WP_011653215.1,SMa0237,RL_RS19455,RL3773,-,putative 2-hydroxy-3-oxopropionate reductase
WP_011653216.1,SMc01095,RL_RS19460,RL3774,-,putative transmembrane AcrB/D/F RND family transporter
WP_011653219.1,SMc01092,RL_RS19475,RL3777,-,putative LysR family transcriptional regulator
WP_011653220.1,SM_b20492,RL_RS19480,RL3778,-,putative short-chain dehydrogenase/reductase
WP_011653221.1,SM_b20493,RL_RS19485,RL3779,-,putative short-chain dehydrogenase
WP_011653222.1,SM_b20494,RL_RS19490,RL3780,-,putative LysR family transcriptional regulator
WP_011653223.1,,RL_RS19495,RL3781,-,hypothetical protein
WP_032993205.1,SM_b20709,RL_RS19500,RL3782,-,putative methylpurine-DNA glycosylase
WP_011653227.1,SMc03972,RL_RS19525,RL3786,-,putative HlyD family secretion efflux protein
WP_011653228.1,SMc03971,RL_RS19530,RL3787,-,putative transmembrane efflux transporter
WP_028743267.1,,RL_RS19535,RL3788,-,putative serine/threonine protein phosphatase
WP_011653230.1,,RL_RS19540,RL3789,-,hypothetical protein
WP_011653231.1,SMc02267,RL_RS19545,RL3790,-,putative Rrf2 family protein
WP_011653232.1,,RL_RS19550,RL3791,-,putative short-chain dehydrogenase/reductase
WP_011653233.1,,RL_RS19555,RL3792,-,putative hydroxypyruvate isomerase
WP_011653234.1,,RL_RS19560,RL3793,-,putative LacI family transcriptional regulator
WP_011653235.1,,RL_RS19565,RL3794,-,putative solute-binding component of ABC transporter
WP_011653236.1,,RL_RS19570,RL3795,-,hypothetical protein
WP_011653237.1,,RL_RS19575,RL3796,-,putative transmembrane component of ABC transporter
WP_011653238.1,,RL_RS19580,RL3797,-,putative transmembrane component of ABC transporter
WP_011653239.1,,RL_RS19585,RL3798,-,putative ATP-binding component of ABC transporter
WP_011653240.1,SM_b20680,RL_RS19590,RL3799,-,putative hydroxypyruvate isomerase
WP_011653241.1,SM_b20679,RL_RS19595,RL3800,-,putative oxidoreductase
WP_011653242.1,,RL_RS19600,RL3801,-,putative beta-galactosidase
WP_011653243.1,,RL_RS19605,RL3802,-,putative transmembrane protein
WP_011653244.1,,RL_RS19610,RL3803,-,hypothetical protein
WP_011653245.1,,RL_RS19615,RL3804,-,putative ATP-binding component of ABC transporter
WP_011653246.1,,RL_RS19620,RL3805,-,putative transmembrane component of ABC transporter protein
WP_003542466.1,,RL_RS19625,RL3806,-,putative transmembrane component of ABC transporter protein
WP_003542468.1,,RL_RS19630,RL3807,-,putative solute-binding component of ABC transporter protein
WP_011653247.1,SM_b21222,RL_RS19635,RL3808,-,putative ROK family transcriptional regulator
WP_011653248.1,SM_b21221,RL_RS19640,RL3809,-,putative solute-binding component of ABC transporter
WP_003562044.1,SM_b21220,RL_RS19645,RL3810,-,putative transmembrane component of ABC transporter
WP_011653249.1,SM_b21219,RL_RS19650,RL3811,-,putative transmembrane component of ABC transporter
WP_011653250.1,SM_b21218,RL_RS19655,RL3812,-,hypothetical protein
WP_011653251.1,SM_b21217,RL_RS19660,RL3813,-,putative kinase
WP_011653252.1,SM_b21216,RL_RS19665,RL3814,-,putative ATP-binding component of ABC transporter
WP_041936439.1,SM_b20932,RL_RS19670,RL3815,-,putative glycosyl hydrolase
WP_011653254.1,SM_b20950,RL_RS19675,RL3816,-,putative polysaccharide export protein
WP_041936440.1,SM_b21075,RL_RS19680,RL3817,-,putative glycosyltransferase
WP_011653256.1,SM_b21581,RL_RS19685,RL3818,-,putative glycosyl transferase
WP_041936443.1,SM_b21070,RL_RS19700,RL3821,-,putative tyrosine-protein kinase involved in exopolysaccharide biosynthesis
WP_028743243.1,SM_b21074,RL_RS19705,RL3822,-,putative glycosyl transferase
WP_011653261.1,SM_b20945,RL_RS19710,RL3823,-,putative exopolysacchride production protein
WP_025395764.1,,RL_RS19720,RL3825,-,putative transmembrane protein
WP_011653264.1,SM_b21068,RL_RS19725,RL3826,-,putative glycosyltransferase
WP_028743241.1,,RL_RS19735,RL3828,-,putative CRP/FNR family transcriptional regulator
WP_173364445.1,,RL_RS19750,RL3831,-,putative O-acetyl transferase
WP_011653271.1,SMc01698,RL_RS19760,RL3833,-,putative short-chain dehydrogenase/reductase
WP_011653272.1,SMc01200,RL_RS19765,RL3834,-,putative ErfK/YbiS/YhnG oxidoreductase
WP_028743236.1,SMc01202,RL_RS19775,RL3835,-,hypothetical protein
WP_011653292.1,SMa0118,RL_RS19875,RL3855,-,putative cytochrome c protein
,,,RL3856,-,-
WP_011653293.1,,RL_RS19885,RL3857,-,putative methyltransferase
WP_011653294.1,,RL_RS19890,RL3858,-,putative mandelate racemase/muconate lactonising family protein
WP_011653295.1,,RL_RS19895,RL3859,-,putative ATP-binding component of ABC transporter
WP_003542591.1,SM_b21105,RL_RS19900,RL3860,-,putative transmembrane component of ABC transporter
WP_011653299.1,,RL_RS19920,RL3864,-,putative mandelate racemase/muconate lactonising family protein
WP_011653300.1,,RL_RS19925,RL3865,-,putative mandelate racemase/muconate lactonising family protein
WP_011653301.1,,RL_RS19930,RL3866,-,putative madelate racemase/muconate lactonising family protein
WP_011653302.1,,RL_RS19965,RL3867,-,hypothetical protein
WP_011653303.1,SMc04239,RL_RS19970,RL3868,-,hypothetical protein
WP_011653304.1,SM_b20024,RL_RS19975,RL3869,-,putative ribosomal large subunit pseudouridine synthase B
WP_011653305.1,SM_b21280,RL_RS19980,RL3870,-,putative phosphoribosyltransferase
WP_011653306.1,,RL_RS19985,RL3871,-,putative transmembrane transporter protein
